[ 2019-06-30T10:47:59+08:00 ] /abcTest/admin.php/index/login/index | ERR: (ThinkException) 无法加载模块index
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007879s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001268s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001444s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.008712s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.009070s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007501s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007788s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.014275s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.014633s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.004210s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.004519s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.020196s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.022303s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.056519s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.056891s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.001702s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.004592s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.006145s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.005309s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.018568s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.004286s ]
[ 2019-06-30T10:56:01+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.005697s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.003817s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.004481s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002837s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003065s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002620s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002884s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.019904s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.020178s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001440s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001495s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001054s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001553s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006074s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001333s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001527s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002732s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.003029s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002626s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002897s ]
[ 2019-06-30T10:56:12+08:00 ] /abcTest/admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2019-06-30T10:58:16+08:00 ] /abcTest/admin.php/Index/index | ERR: (ThinkException) 无法加载模块Index
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.019418s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.020025s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002240s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002796s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002298s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002595s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.022747s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023010s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.004257s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001748s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000900s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001369s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.009133s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001192s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001380s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001877s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002169s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001759s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002037s ]
[ 2019-06-30T10:58:32+08:00 ] /abcTest/admin.php/Login/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run CheckRoute Behavior [ RunTime:0.002413s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002680s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001282s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001441s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_template ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001867s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002060s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016990s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017225s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_filter ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ContentReplace Behavior [ RunTime:0.001211s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001497s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001512s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001417s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006192s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001384s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001560s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.003725s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.004032s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002627s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002897s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.023477s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.023796s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003372s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003683s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.004264s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.004580s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.129256s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.130259s ]
[ 2019-06-30T14:27:30+08:00 ] /abcTest/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
