[ 2012-05-11T19:15:18+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:22:18+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:22:18+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:22:19+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001071s ]
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001189s ]
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000826s ]
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000905s ]
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant APP_PUBLIC_PATH - assumed 'APP_PUBLIC_PATH' IndexAction.class.php 第 16 行.
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant CONFIG_PATH - assumed 'CONFIG_PATH' IndexAction.class.php 第 18 行.
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' IndexAction.class.php 第 21 行.
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant IS_APACHE - assumed 'IS_APACHE' IndexAction.class.php 第 23 行.
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant IS_IIS - assumed 'IS_IIS' IndexAction.class.php 第 25 行.
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant LANG_SET - assumed 'LANG_SET' IndexAction.class.php 第 27 行.
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant MODEL_NAME - assumed 'MODEL_NAME' IndexAction.class.php 第 31 行.
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant TEMPLATE_NAME - assumed 'TEMPLATE_NAME' IndexAction.class.php 第 38 行.
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant TEMPLATE_PATH - assumed 'TEMPLATE_PATH' IndexAction.class.php 第 39 行.
[ 2012-05-11T19:22:21+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant WEB_PUBLIC_PATH - assumed 'WEB_PUBLIC_PATH' IndexAction.class.php 第 41 行.
[ 2012-05-11T19:23:01+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:23:58+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:23:59+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:23:59+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001050s ]
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001178s ]
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000864s ]
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000947s ]
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant APP_PUBLIC_PATH - assumed 'APP_PUBLIC_PATH' IndexAction.class.php 第 16 行.
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant CONFIG_PATH - assumed 'CONFIG_PATH' IndexAction.class.php 第 18 行.
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' IndexAction.class.php 第 21 行.
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant IS_APACHE - assumed 'IS_APACHE' IndexAction.class.php 第 23 行.
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant IS_IIS - assumed 'IS_IIS' IndexAction.class.php 第 25 行.
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant LANG_SET - assumed 'LANG_SET' IndexAction.class.php 第 27 行.
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant MODEL_NAME - assumed 'MODEL_NAME' IndexAction.class.php 第 31 行.
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant TEMPLATE_NAME - assumed 'TEMPLATE_NAME' IndexAction.class.php 第 38 行.
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant TEMPLATE_PATH - assumed 'TEMPLATE_PATH' IndexAction.class.php 第 39 行.
[ 2012-05-11T19:24:02+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant WEB_PUBLIC_PATH - assumed 'WEB_PUBLIC_PATH' IndexAction.class.php 第 41 行.
[ 2012-05-11T19:24:28+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:25:34+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:25:36+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000852s ]
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000991s ]
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Use of undefined constant APP_PUBLIC_PATH - assumed 'APP_PUBLIC_PATH' IndexAction.class.php 第 16 行.
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Use of undefined constant CONFIG_PATH - assumed 'CONFIG_PATH' IndexAction.class.php 第 18 行.
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' IndexAction.class.php 第 21 行.
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Use of undefined constant IS_APACHE - assumed 'IS_APACHE' IndexAction.class.php 第 23 行.
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Use of undefined constant IS_IIS - assumed 'IS_IIS' IndexAction.class.php 第 25 行.
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Use of undefined constant LANG_SET - assumed 'LANG_SET' IndexAction.class.php 第 27 行.
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Use of undefined constant MODEL_NAME - assumed 'MODEL_NAME' IndexAction.class.php 第 31 行.
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Use of undefined constant TEMPLATE_NAME - assumed 'TEMPLATE_NAME' IndexAction.class.php 第 38 行.
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Use of undefined constant TEMPLATE_PATH - assumed 'TEMPLATE_PATH' IndexAction.class.php 第 39 行.
[ 2012-05-11T19:25:50+08:00 ] /SiaWeb/admin.php | NOTIC: [8] Use of undefined constant WEB_PUBLIC_PATH - assumed 'WEB_PUBLIC_PATH' IndexAction.class.php 第 41 行.
[ 2012-05-11T19:25:59+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:10+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:12+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:14+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:15+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:15+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:16+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:16+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:16+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:16+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:16+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:27:16+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:28:36+08:00 ] /SiaWeb/admin.php/person | ERR: (ThinkException) 无法加载模块person
[ 2012-05-11T19:30:52+08:00 ] /SiaWeb/admin.php/index | ERR: (ThinkException) 无法加载模块index
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001046s ]
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001170s ]
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000821s ]
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000905s ]
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant APP_PUBLIC_PATH - assumed 'APP_PUBLIC_PATH' IndexAction.class.php 第 16 行.
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant CONFIG_PATH - assumed 'CONFIG_PATH' IndexAction.class.php 第 18 行.
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' IndexAction.class.php 第 21 行.
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant IS_APACHE - assumed 'IS_APACHE' IndexAction.class.php 第 23 行.
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant IS_IIS - assumed 'IS_IIS' IndexAction.class.php 第 25 行.
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant LANG_SET - assumed 'LANG_SET' IndexAction.class.php 第 27 行.
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant MODEL_NAME - assumed 'MODEL_NAME' IndexAction.class.php 第 31 行.
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant TEMPLATE_NAME - assumed 'TEMPLATE_NAME' IndexAction.class.php 第 38 行.
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant TEMPLATE_PATH - assumed 'TEMPLATE_PATH' IndexAction.class.php 第 39 行.
[ 2012-05-11T19:31:03+08:00 ] /SiaWeb/admin.php/ | NOTIC: [8] Use of undefined constant WEB_PUBLIC_PATH - assumed 'WEB_PUBLIC_PATH' IndexAction.class.php 第 41 行.
[ 2012-05-11T19:33:09+08:00 ] /SiaWeb/admin.php/index | ERR: (ThinkException) 无法加载模块index
[ 2012-05-11T19:38:36+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:38:36+08:00 ] /SiaWeb/admin.php/Person | INFO: Run CheckRoute Behavior [ RunTime:0.000980s ]
[ 2012-05-11T19:38:36+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --END-- [ RunTime:0.001103s ]
[ 2012-05-11T19:38:36+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:38:36+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000614s ]
[ 2012-05-11T19:38:36+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000703s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Run CheckRoute Behavior [ RunTime:0.001664s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ route_check ] --END-- [ RunTime:0.001795s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000633s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000719s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --START--
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Run LocationTemplate Behavior [ RunTime:0.000780s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_template ] --END-- [ RunTime:0.000867s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --START--
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ParseTemplate Behavior [ RunTime:0.040413s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_parse ] --END-- [ RunTime:0.040516s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --START--
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ContentReplace Behavior [ RunTime:0.000506s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Run TokenBuild Behavior [ RunTime:0.000662s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000366s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowRuntime Behavior [ RunTime:0.000678s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003046s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --START--
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Run ShowPageTrace Behavior [ RunTime:0.000509s ]
[ 2012-05-11T19:38:58+08:00 ] /SiaWeb/admin.php/Person | INFO: Tag[ view_end ] --END-- [ RunTime:0.000589s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ route_check ] --START--
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run CheckRoute Behavior [ RunTime:0.001843s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.002013s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ app_begin ] --START--
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001095s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001226s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | SQL: SHOW COLUMNS FROM `think_person` [ RunTime:0.004314s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | SQL: INSERT INTO `think_person` (`name`,`major`,`jobtitle`,`job`) VALUES ('吴文俊','数学','中国科学院院士','名誉主任') [ RunTime:0.103726s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_template ] --START--
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000834s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000924s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_parse ] --START--
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ParseTemplate Behavior [ RunTime:0.088126s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.088267s ]
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Tag[ view_filter ] --START--
[ 2012-05-11T19:39:32+08:00 ] /SiaWeb/admin.php/Person/add | INFO: Run ContentReplace Behavior [ RunTime:0.000535s ]
